group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
0,MS4A1,38.367558,6.259411,0.0,0.0,0.986644407345576,0.07217004448838359
0,CD79A,36.459995,5.914112,4.777393091667363e-291,5.324404600663275e-287,0.9449081803005008,0.06302521008403361
0,HLA-DRA,36.240223,3.5656307,1.4166031651746817e-287,1.0525361517247886e-283,0.998330550918197,0.3482451804251112
0,BANK1,36.215755,7.136016,3.439610664384657e-287,1.91672304272835e-283,0.9232053422370617,0.03633217993079585
0,HLA-DPA1,33.711952,2.8144293,3.8623152509728223e-249,1.7218201388836842e-245,0.991652754590985,0.45353435491843797
0,CD74,33.6599,1.9104229,2.2337720227580883e-248,8.298463064546298e-245,1.0,0.7229362333168562
0,BCL11A,33.578564,5.8941436,3.448684265757538e-247,1.0981596040533647e-243,0.8714524207011686,0.05659911023232823
0,IRF8,33.40319,4.448689,1.2322385173058279e-244,3.433324568843363e-241,0.9081803005008348,0.1426099851705388
0,HLA-DQB1,32.60628,3.5805397,3.3413031116734514e-233,8.275294039911247e-230,0.9382303839732888,0.2508650519031142
0,HLA-DPB1,32.436245,2.6999073,8.466773698383214e-231,1.8872438573696183e-227,0.9799666110183639,0.45180425111220957
1,CCL5,40.02837,1.3766198,0.0,0.0,0.9977703455964325,0.9346318036286019
1,NKG7,38.194355,4.3085,0.0,0.0,0.9096989966555183,0.14941302027748132
1,CD8A,36.62443,4.2116456,1.1684184814287482e-293,8.6813493170156e-290,0.8729096989966555,0.1744930629669157
1,CST7,35.760406,3.6771817,4.55881273606892e-280,2.5403983971744057e-276,0.8807134894091416,0.19610458911419423
1,KLRK1,34.290283,3.8509831,1.0954551451251286e-257,4.883539036967823e-254,0.8472686733556298,0.16542155816435433
1,GZMA,33.970184,4.1778903,6.142009267999333e-253,2.2817564430617523e-249,0.8115942028985508,0.12246531483457844
1,CCL4,33.666428,4.032925,1.7927159781513955e-248,5.7085198789992296e-245,0.8138238573021181,0.1411419423692636
1,GZMK,32.567356,3.9712024,1.1892268659981745e-232,3.313483355387413e-229,0.7848383500557413,0.13713980789754535
1,IL32,31.43461,2.5481298,6.813398426576027e-217,1.687451676981996e-213,0.9464882943143813,0.39140875133404485
1,CD2,30.548992,2.6371827,5.831502469510493e-205,1.2998419004538888e-201,0.9052396878483835,0.3313767342582711
10,PRF1,13.808382,3.490801,2.2687142852778575e-43,5.0569641418843445e-39,0.9578947368421052,0.2887912087912088
10,CTSW,13.667424,3.7045362,1.589227626739128e-42,1.771194190000758e-38,0.9473684210526315,0.20857142857142857
10,NKG7,13.618763,3.4282053,3.0977044816272205e-42,2.301594429849025e-38,0.968421052631579,0.2821978021978022
10,KLRD1,13.432237,1.509801,3.914103212649935e-41,2.181134015249176e-37,1.0,0.9085714285714286
10,GNLY,13.02749,6.047202,8.537029661566178e-39,3.805807823126202e-35,0.8,0.046153846153846156
10,IL2RB,11.556302,2.8505638,6.859942109263229e-31,2.5484684935912895e-27,0.8526315789473684,0.30153846153846153
10,KLRB1,11.47189,4.4712124,1.8262612027875914e-30,5.815337458590774e-27,0.7578947368421053,0.08307692307692308
10,GZMB,11.346585,4.0562153,7.711551843420758e-30,2.009442234372056e-26,0.7684210526315789,0.11824175824175824
10,TYROBP,11.342141,4.6234374,8.113494889792958e-30,2.009442234372056e-26,0.7368421052631579,0.0767032967032967
10,AOAH,11.128482,3.2705278,9.117524075648043e-29,2.0322961164619487e-25,0.8,0.18923076923076923
11,POU2AF1,10.703302,2.819018,9.821463395756481e-27,2.1892041909141193e-22,0.9615384615384616,0.6200740256912693
11,IGLL5,10.512788,4.592659,7.542990294150516e-26,8.40666268283075e-22,0.9423076923076923,0.1439146527324189
11,IGJ,10.420235,6.0185437,2.0045715931461747e-25,1.489396693707608e-21,0.8653846153846154,0.06335728282168518
11,ELK2AP,9.862212,5.181063,6.06969555290812e-23,3.223098540476276e-19,0.8461538461538461,0.08795993903766601
11,MZB1,9.844638,5.5374956,7.229920458672669e-23,3.223098540476276e-19,0.8269230769230769,0.05987372087959939
11,UBE2J1,9.826127,3.291163,8.689645410262318e-23,3.228203269912451e-19,0.9038461538461539,0.3119965164380579
11,HERPUD1,9.780059,2.3148239,1.3713120263615572e-22,4.366649295371301e-19,0.9615384615384616,0.5534509035488787
11,CD79A,9.65012,3.8969138,4.909815490903049e-22,1.367997341152862e-18,0.9423076923076923,0.16808186370563902
11,CPNE5,9.596045,4.5183663,8.307163189702772e-22,2.05740741664972e-18,0.8269230769230769,0.09144350097975179
11,SEL1L3,9.530997,3.410273,1.5577983353303232e-21,3.47233248945129e-18,0.9038461538461539,0.23274548225560635
12,DCT,22.619612,4.263784,2.779193152371285e-113,6.1948215366355935e-109,0.8758620689655172,0.12169919632606199
12,GPR143,22.450432,3.4040036,1.2673320779338182e-111,1.4124416008572403e-107,0.906896551724138,0.19954075774971297
12,QPCT,22.147146,3.4322035,1.1114213741241643e-108,8.25786080974254e-105,0.906896551724138,0.2034443168771527
12,LHFPL3-AS1,21.970098,4.384707,5.564856588533095e-107,3.101016333960067e-103,0.8379310344827586,0.07990815154994259
12,SCD,21.851885,3.0889544,7.458936432081951e-106,3.325193861422134e-102,0.896551724137931,0.26704936854190586
12,MLPH,21.394547,2.95147,1.501826970382611e-101,4.782246167118343e-98,0.906896551724138,0.3393800229621125
12,BCAN,21.168003,4.559652,1.8837291076509573e-99,5.24854022619248e-96,0.7965517241379311,0.07095292766934558
12,TUBB4A,20.934698,4.112939,2.5869905854238424e-97,6.407113349899716e-94,0.8,0.11595866819747416
12,PRAME,20.784174,2.9687808,6.019141837752431e-96,1.3416667156350168e-92,0.9275862068965517,0.26222732491389206
12,TRPM1,20.385805,3.7551265,2.2350647071719357e-92,4.52905384753295e-89,0.8241379310344827,0.3076923076923077
13,DCT,16.12935,3.9317162,1.5868223090610231e-58,3.53702692689702e-54,0.9078014184397163,0.14564831261101244
13,CTSK,15.969405,3.366736,2.0876747740266784e-57,2.326713535652733e-53,0.900709219858156,0.22690941385435168
13,S100A1,15.907066,3.5352502,5.660452510977812e-57,4.2057162156565145e-53,0.8936170212765957,0.17118117229129662
13,MYO10,15.881238,2.3149042,8.547480536971699e-57,4.763083529227479e-53,0.9645390070921985,0.6827264653641207
13,POSTN,15.456855,5.868567,6.783027034163404e-54,3.0238734518300454e-50,0.7872340425531915,0.03507992895204263
13,AEBP1,15.184477,2.7573006,4.4812162416057694e-52,1.6647718337565435e-48,0.9432624113475178,0.286190053285968
13,CRYAB,15.105302,3.4017842,1.4942013146494812e-51,4.7579639005052766e-48,0.8652482269503546,0.1924955595026643
13,MLPH,14.96044,2.7541,1.3314308071690183e-50,3.2975102990886017e-47,0.9432624113475178,0.35701598579040855
13,MLANA,14.888726,1.7092648,3.901312837842586e-50,8.173808701955731e-47,0.9929078014184397,0.7391207815275311
13,EDNRB,14.886494,2.9168308,4.033732423576179e-50,8.173808701955731e-47,0.9078014184397163,0.25732682060390766
14,PLVAP,9.738761,8.344524,2.060510082228635e-22,1.8752112271012327e-18,1.0,0.01647517884240191
14,ELTD1,9.73228,8.065643,2.1961535659612094e-22,1.8752112271012327e-18,1.0,0.01755907218729677
14,VWF,9.718126,7.593078,2.523837452356975e-22,1.8752112271012327e-18,1.0,0.03468458703663559
14,AQP1,9.642464,6.647404,5.290288857396023e-22,2.414931578896009e-18,1.0,0.04465640580966833
14,CALCRL,9.623151,6.79858,6.3844776356442765e-22,2.414931578896009e-18,1.0,0.030565792326035117
14,ENG,9.621299,4.740021,6.500488772263818e-22,2.414931578896009e-18,1.0,0.19813570344678083
14,COL4A2,9.565082,5.7844615,1.1211319149648398e-21,3.5700043406523254e-18,1.0,0.08324300888792543
14,SPARCL1,9.362301,6.416848,7.801891365650336e-21,2.1738019817543248e-17,0.96875,0.063082592672881
14,COL4A1,9.319708,6.2784324,1.1666134872702116e-20,2.8893127368058906e-17,0.96875,0.05787990461738565
14,IGFBP7,9.289813,4.274919,1.545596237781066e-20,3.4451340140139966e-17,1.0,0.1974853674398439
15,MIA,34.862705,4.420192,2.7331161303616455e-266,6.092115854576107e-262,0.9919839679358717,0.17124939700916547
15,SERPINE2,34.49888,3.742792,8.33825466213151e-261,9.292984820945568e-257,1.0,0.2727930535455861
15,APOD,34.21911,3.9895072,1.2569433323054973e-256,9.339088959029845e-253,0.9959919839679359,0.23564881813796432
15,MFGE8,34.089203,3.731655,1.0661480187967864e-254,5.941109834745092e-251,0.9819639278557114,0.2496382054992764
15,A2M,34.070778,3.6657104,1.99883268977931e-254,8.910796131036165e-251,0.9919839679358717,0.3183791606367583
15,NSG1,33.982162,4.382467,4.087273445074846e-253,1.5184220848453054e-249,0.9819639278557114,0.1389290882778582
15,TYR,33.652817,3.951284,2.8355406442502217e-248,9.029171565762492e-245,0.9839679358717435,0.21394114809454895
15,APOC2,33.633102,5.980252,5.507575531684841e-248,1.534548232515689e-244,0.9378757515030061,0.053545586107091175
15,CDH19,33.000317,4.1417313,8.038103594412177e-239,1.9907703235494158e-235,0.9498997995991983,0.17607332368547998
15,SLC26A2,32.59681,3.1036623,4.5514519009734524e-233,1.0145186287269826e-229,0.9759519038076152,0.6314520019295706
16,TFF2,10.183894,8.366972,2.340062741898694e-24,5.215999851692189e-20,1.0,0.013232104121475054
16,IGFBP3,10.0605345,6.152558,8.254883034320261e-24,6.84977565555233e-20,1.0,0.07071583514099783
16,AQP1,10.049654,6.542817,9.219078944215786e-24,6.84977565555233e-20,1.0,0.04403470715835141
16,ALDH1A3,9.951346,5.286002,2.4879501869610545e-23,1.3864102416840476e-19,1.0,0.08980477223427331
16,KLK6,9.866766,7.9900155,5.800462669489705e-23,2.5858462580585104e-19,0.9714285714285714,0.014533622559652928
16,SPARC,9.7076645,3.327357,2.796720725634194e-22,1.038981749573103e-18,1.0,0.3455531453362256
16,RNASE1,9.487769,5.2780876,2.3603188268134383e-21,7.515929521381648e-18,0.9714285714285714,0.0859002169197397
16,OLFML3,9.327465,5.557922,1.0843288657986716e-20,2.979157932738197e-17,0.9428571428571428,0.06312364425162689
16,MAG,9.316458,9.942103,1.202890147808155e-20,2.979157932738197e-17,0.9142857142857143,0.0026030368763557484
16,ZCCHC24,9.19487,4.32958,3.7544781768493024e-20,8.304689621108719e-17,0.9428571428571428,0.15032537960954448
17,FCRL3,20.867935,3.4471977,1.0476274895361627e-96,2.3351616741761065e-92,0.9299610894941635,0.2096627164995442
